# list of object assets to load in this scene
[ASSETS]
src\settings\objects\mario.txt
src\settings\objects\platform.txt
src\settings\objects\effect.txt
src\settings\objects\hud.txt

src\settings\objects\materials\door.txt
src\settings\objects\materials\grass.txt

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in configs\core\ObjectTypes.h

# MARIO
0	32	30

#GRASS
62	16	16
62	16	32
62	32	16
62	32	32
62	48	16
62	48	32
62	16	64
62	32	64
62	48	64
62	16	80
62	32	80
62	48	80
62	16	96
62	80	32
62	96	32
62	112	32
62	80	48
62	96	48
62	112	48
62	80	64
62	96	64
62	112	64
62	144	32
62	160	32
62	176	32
62	208	16
62	224	16
62	208	32
62	224	32
62	208	48
62	224	48
62	144	64
62	160	64
62	176	64
62	192	64
62	208	64
62	224	64
62	144	80
62	160	80
62	96	96
62	112	96
62	128	96
62	224	80
62	224	96
62	224	112
62	224	128
62	224	144
