# list of object assets to load in this scene
[SETTINGS]
limit_time	300
background_color	255.0	216.0	154.0	255

[ASSETS]
src\settings\objects\mario.txt
src\settings\objects\platform.txt
src\settings\objects\effect.txt
src\settings\objects\intro.txt
src\settings\objects\hud.txt

# materials
src\settings\objects\materials\cloud.txt

# monster
src\settings\objects\monsters\koopa.txt
src\settings\objects\monsters\goomba.txt

[OBJECTS]
# type	x	y	extra_settings per object type
# See OBJECT_TYPE constants in configs/core/ObjectTypes.h

# BUSH 1

5	8	141	16	16	2	1000310	1000320	1000320	0	0
5	8	157	16	16	2	1000350	1000360	1000370	0	0

5	8	173	16	16	3	1000350	1000330	1000320	0	0

5	8	189	16	16	3	1000350	1000360	1000370	0	0

#BUSH 2
5	226	112	16	16	2	1000310	1000320	1000320	0	0
5	226	128	16	16	2	1000350	1000350	1000370	0	0

5	210	144	16	16	3	1000310	1000340	1000370	0	0
5	210	160	16	16	3	1000350	1000360	1000370	0	0
5	210	174	16	16	3	1000350	1000360	1000370	0	0

5	194	189	16	16	2	1000310	1000340	1000340	0	0
5	226	189	16	16	2	1000360	1000360	1000370	0	0

#CLOUDS
5	30	50	32	16	1	1003600	1003600	1003600	0	0
5	210	30	32	16	1	1003600	1003600	1003600	0	0

# TITLE
5	126	89	220	137	1	1003500	1003500	1003500	0	0

# CURTAIN
5	8	3	16	6	16	1003701	1003701	1003701	0	0
5	8	13	16	14	16	1003700	1003700	1003700	0	0

#Platform
5	12	214	24	34	11	1003400	1003400	1003400	1	1
